City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Mhlume,SZ,-26.0333,31.85,67.86,96,92,4.14,overcast clouds
273,Gat,IL,31.61,34.7642,56.39,60,100,2.04,overcast clouds
274,Warrington,GB,53.3925,-2.5802,49.15,96,90,5.75,overcast clouds
275,Champerico,GT,14.3,-91.9167,80.35,74,0,9.46,clear sky
276,Chavakkad,IN,10.5333,76.05,76.37,67,11,16.98,few clouds
277,Dikson,RU,73.5069,80.5464,-4.22,88,60,12.35,broken clouds
278,Baykit,RU,61.67,96.37,-19.98,100,32,1.92,scattered clouds
279,Mount Isa,AU,-20.7333,139.5,96.57,30,91,9.22,overcast clouds
280,Northam,GB,51.0333,-4.2167,52.02,97,92,23.58,overcast clouds
281,Huarmey,PE,-10.0681,-78.1522,68.63,85,100,5.53,overcast clouds
282,Tuktoyaktuk,CA,69.4541,-133.0374,-9.81,93,100,24.23,overcast clouds
283,Xinmin,CN,41.9908,122.8253,32.25,40,1,12.41,clear sky
284,Laguna,US,38.421,-121.4238,46.26,81,20,3.0,few clouds
285,Chokurdakh,RU,70.6333,147.9167,-40.49,100,71,4.07,broken clouds
286,Mahina,PF,-17.5065,-149.489,78.57,78,75,3.44,light rain
287,Ketchikan,US,55.3422,-131.6461,24.78,93,90,0.0,overcast clouds
288,Gananoque,CA,44.3334,-76.1661,31.59,95,100,8.34,light snow
289,Hadejia,NG,12.4498,10.0444,62.71,22,20,9.66,few clouds
290,Ravar,IR,31.2656,56.8055,38.82,42,0,1.16,clear sky
291,Kattivakkam,IN,13.2167,80.3167,80.08,82,69,10.18,broken clouds
292,Akureyri,IS,65.6835,-18.0878,26.55,97,100,6.38,snow
293,Chauk,MM,20.8833,94.8167,72.03,58,0,9.53,clear sky
294,Ancud,CL,-41.8697,-73.8203,57.42,94,5,5.66,clear sky
295,Hofn,IS,64.2539,-15.2082,28.54,65,0,18.48,clear sky
296,Romny,UA,50.751,33.4747,13.6,86,100,8.16,overcast clouds
297,Itamaraju,BR,-17.0392,-39.5311,71.44,99,100,2.48,heavy intensity rain
298,Stornoway,GB,58.2093,-6.3865,37.92,94,90,0.0,mist
299,Mangit,UZ,40.5971,70.9607,29.48,77,28,4.99,scattered clouds
300,Miandrivazo,MG,-19.5167,45.4667,79.23,74,100,3.74,overcast clouds
301,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,82,0,5.75,clear sky
302,Marquette,US,46.5333,-87.6335,21.36,70,85,13.94,overcast clouds
303,Alexander City,US,32.944,-85.9539,66.11,94,90,0.0,overcast clouds
304,Castro Verde,PT,37.6983,-8.0858,57.2,88,99,7.45,overcast clouds
305,Kahului,US,20.8947,-156.47,77.02,67,40,16.11,scattered clouds
306,Lorengau,PG,-2.0226,147.2712,84.0,73,100,3.06,overcast clouds
307,Sterling,US,39.0062,-77.4286,40.35,87,20,3.0,few clouds
308,San Cristobal,VE,7.7669,-72.225,69.98,97,92,2.33,overcast clouds
309,Lasa,IT,46.6166,10.7002,32.74,90,73,1.68,broken clouds
310,Bengkulu,ID,-3.8004,102.2655,81.41,78,99,3.31,overcast clouds
311,Rocha,UY,-34.4833,-54.3333,56.55,91,0,3.89,clear sky
312,Sioux Lookout,CA,50.1001,-91.917,5.38,85,90,0.0,light snow
313,Matara,LK,5.9485,80.5353,78.15,69,47,6.04,scattered clouds
314,Kenora,CA,49.8167,-94.4337,12.18,84,100,1.99,overcast clouds
315,Zempoala,MX,19.45,-96.4167,71.91,89,0,3.49,clear sky
316,Bayir,TR,37.2687,28.2167,48.72,96,100,4.85,overcast clouds
317,Doha,QA,25.2867,51.5333,62.58,72,0,11.5,clear sky
318,Ahipara,NZ,-35.1667,173.1667,71.6,75,100,4.56,light rain
319,Burnie,AU,-41.0667,145.9167,67.91,57,5,13.82,clear sky
320,Saint-Cesaire,CA,45.4168,-72.9991,17.94,90,100,5.32,overcast clouds
321,Diu,IN,20.7141,70.9822,69.12,74,65,8.41,broken clouds
322,Buta,CD,2.7858,24.73,70.48,94,100,1.36,overcast clouds
