City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Doha,QA,2021-12-19 19:19:25,25.2867,51.5333,73.38,71,0,6.91
278,Caravelas,BR,2021-12-19 19:19:26,-17.7125,-39.2481,78.89,77,100,7.05
279,Comodoro Rivadavia,AR,2021-12-19 19:18:08,-45.8667,-67.5,64.26,59,20,18.41
280,Rio De Janeiro,BR,2021-12-19 19:16:42,-22.9028,-43.2075,82.35,61,20,12.66
281,Port Hawkesbury,CA,2021-12-19 19:19:26,45.6169,-61.3485,30.81,90,90,4.0
282,Watsa,CD,2021-12-19 19:19:27,3.0372,29.5355,72.0,55,100,1.01
283,Inhambane,MZ,2021-12-19 19:19:27,-23.865,35.3833,72.64,74,100,6.73
284,Bonfim,BR,2021-12-19 19:19:27,3.0833,-59.95,89.38,53,100,4.21
285,Winton,US,2021-12-19 19:19:28,37.3894,-120.6133,62.98,100,90,0.0
286,Verkhnyaya Inta,RU,2021-12-19 19:19:28,65.9811,60.3094,-5.15,76,79,15.84
287,Ponta Delgada,PT,2021-12-19 19:19:28,37.7333,-25.6667,61.52,72,20,13.8
288,Panguna,PG,2021-12-19 19:19:29,-6.3164,155.4848,69.01,96,65,1.57
289,Mamallapuram,IN,2021-12-19 19:19:29,12.6264,80.1722,78.06,69,5,10.33
290,Belmonte,BR,2021-12-19 19:19:29,-15.8631,-38.8828,84.2,71,96,7.92
291,Skelleftea,SE,2021-12-19 19:19:30,64.7507,20.9528,25.16,80,90,8.05
292,George Town,MY,2021-12-19 19:19:30,5.4112,100.3354,77.95,84,20,2.3
293,Mehamn,NO,2021-12-19 19:19:30,71.0357,27.8492,26.78,93,20,9.22
